scope_id,project_id,date,author,note_type,estimated_labor_hours,estimated_material_cost,approval_status,co_status,root_cause,responsibility,description,full_description
SCOPE-011,PRJ-2024-003,2024-09-10,K. Thompson,Daily Report,24,0,written,not_submitted,design_conflict,tbd,Working in library - discovered existing HVAC system not shown on demo drawings. Had to remove old ductwork first (assumed by GC to be removed). Added 3 days demo work: 3 workers × 8 hours = 72 hours....,"Working in library - discovered existing HVAC system not shown on demo drawings. Had to remove old ductwork first (assumed by GC to be removed). Added 3 days demo work: 3 workers × 8 hours = 72 hours. Debris disposal extra. GC superintendent said 'just get it done, we'll figure it out.' No written approval yet. Documented existing conditions with photos."
SCOPE-012,PRJ-2024-003,2024-09-12,J. Martinez,Issue Log,40,1500,undocumented,pending,schedule_conflict,tbd,Library ductwork install behind schedule due to unforeseen demo (see prior notes). Also found existing ceiling grid can't support new duct weight - structural engineer now involved. May need supplemen...,Library ductwork install behind schedule due to unforeseen demo (see prior notes). Also found existing ceiling grid can't support new duct weight - structural engineer now involved. May need supplemental hangers. Waiting on engineering calcs. If required: estimate 40 hours additional hanger install + materials $1500. Schedule impact 5 days. Will need CO for both demo and structural modifications.
SCOPE-013,PRJ-2024-003,2024-06-18,M. Chen,Safety Log,12,0,undocumented,not_submitted,weather,tbd,"Safety meeting standard. Weather delay this morning - sent crew home after 3 hours (rain). Crew still charged to project but minimal productivity. Lightning in area, couldn't work. 4 workers × 3 hours...","Safety meeting standard. Weather delay this morning - sent crew home after 3 hours (rain). Crew still charged to project but minimal productivity. Lightning in area, couldn't work. 4 workers × 3 hours = 12 hours non-productive time."
SCOPE-014,PRJ-2024-003,2024-07-15,K. Thompson,Coordination Note,8,0,verbal,not_submitted,design_conflict,tbd,Met with electrical foreman re: coordination in admin wing. They need us to relocate two return air grilles to avoid conflict with their panel boards (not shown on their drawings). Quick change: 2 wor...,Met with electrical foreman re: coordination in admin wing. They need us to relocate two return air grilles to avoid conflict with their panel boards (not shown on their drawings). Quick change: 2 workers × 4 hours = 8 hours. GC site super verbally approved. New grille locations work fine for us. Will note on as-builts.
SCOPE-015,PRJ-2024-003,2024-08-20,J. Martinez,Daily Report,24,2800,verbal,not_submitted,owner_change,owner,Controls commissioning in progress. Owner's rep walked through today with facility director. They want to add 15 additional monitoring points for energy management (not in original control spec). Woul...,Controls commissioning in progress. Owner's rep walked through today with facility director. They want to add 15 additional monitoring points for energy management (not in original control spec). Would require software license upgrade ($2800) plus 24 hours programming time. Owner rep said 'it's a must-have for their LEED submission.' GC told us to provide pricing - no CO submitted yet but expect approval.
SCOPE-016,PRJ-2024-003,2024-09-18,M. Chen,Issue Log,0,2200,undocumented,pending,design_change,tbd,Piping in library area - had to use stainless steel hangers instead of standard iron. Existing structure (wood joists) wouldn't support standard hanger loads per engineer review. SS hangers are 3× cos...,Piping in library area - had to use stainless steel hangers instead of standard iron. Existing structure (wood joists) wouldn't support standard hanger loads per engineer review. SS hangers are 3× cost. Added $2200 to materials. Installation same labor. Engineer directive so had to comply. Submitted backup documentation. Unclear if this qualifies for CO - may be latent condition.
SCOPE-017,PRJ-2024-003,2024-08-05,K. Thompson,Coordination Note,6,280,verbal,not_submitted,code_compliance,code_compliance,Working in admin wing. Principal asked if we could add return air to main office (currently transfer air only). Showed us code section saying enclosed offices need return air. Not on our drawings. Sma...,"Working in admin wing. Principal asked if we could add return air to main office (currently transfer air only). Showed us code section saying enclosed offices need return air. Not on our drawings. Small change: 8 feet of duct + grille. Told her we'd check with GC. GC super said 'if it's code, do it.' Installed: 2 workers × 3 hours = 6 hours. Material: $280. Verbal approval only."
SCOPE-018,PRJ-2024-003,2024-07-30,J. Martinez,Daily Report,16,1600,undocumented,not_submitted,code_compliance,code_compliance,Mechanical room work continues. Installed seismic restraints per code - inspector walked through yesterday. Inspector required additional bracing on piping (earthquake zone requirements updated since ...,"Mechanical room work continues. Installed seismic restraints per code - inspector walked through yesterday. Inspector required additional bracing on piping (earthquake zone requirements updated since design). Added 8 restraint assemblies. Engineer letter confirming required. Extra materials $1600, labor 16 hours. Submittal to GC pending. Code compliance issue so non-negotiable."
SCOPE-019,PRJ-2024-003,2024-08-22,M. Chen,Coordination Note,20,0,undocumented,absorbed,schedule_conflict,self_absorbed,Controls system integration complete except for gymnasium. Gym AHU has different controller than specified (supply chain substitution by equipment vendor 3 months ago). Our controls tech had to write ...,Controls system integration complete except for gymnasium. Gym AHU has different controller than specified (supply chain substitution by equipment vendor 3 months ago). Our controls tech had to write custom integration driver - not standard protocol. Added 20 hours troubleshooting + programming. Vendor issue but we absorbed time to meet schedule. May pursue backcharge to vendor.
SCOPE-020,PRJ-2024-003,2024-09-25,K. Thompson,Daily Report,16,3500,verbal,awaiting_approval,owner_change,owner,Final controls programming in library. Owner's IT director on site - wants BAS accessible via their network (wasn't in original scope - spec said standalone). Requires network switches + security conf...,"Final controls programming in library. Owner's IT director on site - wants BAS accessible via their network (wasn't in original scope - spec said standalone). Requires network switches + security configuration. IT director verbal approval, said facilities budget will cover. Our controls sub quoting: estimate $3500 equipment + 16 hours integration work. Proceeding with quote, awaiting written approval."
